Urban Village/Village,Subdistrict,Regency_City,Province,Longitude,Latitude,Elevation,Slope,Aspect,HillShade,Rainfall,LandCover,NDVI,NDWI,NDVI_Change,LST,PopulationDensity,SoilMoisture,Prediction,GroundTruth
,,Bogor,Jawa Barat,106.5808911,-6.45045415,150,6.671061516,146.1417999,169,4871.404463,10,0.143016934,-0.13138561,-0.240097374,300.5325,2169.933594,23.74265099,,
,,Bogor,Jawa Barat,106.4789421,-6.616466054,774,2.075812578,206.7185059,183,5171.911108,10,0.152632102,-0.125493973,-0.100332484,298.8621053,2169.933594,24.68156052,,
,,Bogor,Jawa Barat,107.1106142,-6.479675783,46,0.927409947,0,180,3624.557324,40,0.127649337,-0.106204003,-0.051132828,303.5742857,2169.933594,24.33442307,,
,,Bogor,Jawa Barat,106.4648415,-6.590676473,650,12.31657887,243.5866089,215,4954.823897,10,0.147553697,-0.119698025,-0.115525141,299.2847619,2169.933594,24.68156052,,
,,Bogor,Jawa Barat,106.9837655,-6.711292566,1356,23.33758163,79.18729401,110,4388.019289,10,0.065931879,-0.072496101,-0.047693498,296.2461538,1400.108276,24.85513115,,
,,Bogor,Jawa Barat,107.0043814,-6.462850292,78,3.704791784,0,180,3944.766278,10,0.111158319,-0.086953908,-0.124422945,303.8566667,2169.933594,23.97134209,,
,,Bogor,Jawa Barat,106.5148438,-6.396969743,57,5.878341675,251.6721344,198,3668.18868,10,0.176240057,-0.140631288,-0.257435679,302.18,2169.933594,23.74265099,,
,,Bogor,Jawa Barat,106.9474557,-6.640298887,1268,27.92380142,220.2203064,235,4462.325247,10,0.048520837,-0.061568249,-0.043943468,295.3714286,2169.933594,24.99391365,,
,,Bogor,Jawa Barat,106.5524771,-6.381936548,63,6.569489956,81.91960907,160,3650.093265,10,0.146206275,-0.132475615,-0.159390971,303.7233333,2169.933594,23.74265099,,
,,Bogor,Jawa Barat,106.8409378,-6.76871566,609,16.23570442,243.5949097,225,4253.270838,10,0.206952959,-0.162913337,-0.13523075,300.531,1158.37561,24.61726952,,
,,Bogor,Jawa Barat,107.0711687,-6.63474955,885,40.95148849,8.640623093,163,4378.963025,10,0.143368751,-0.133262768,-0.017854676,298.7788235,2169.933838,24.70723724,,
,,Bogor,Jawa Barat,106.7710507,-6.610754234,258,2.948054075,71.67941284,172,5824.370522,10,0.155037582,-0.121193647,-0.092922732,306.2675,2587.721436,24.52278519,,
,,Bogor,Jawa Barat,106.6592314,-6.432455453,62,13.06329823,24.91309929,163,4132.018557,10,0.238726228,-0.20270364,-0.234305382,302.317,2169.933594,23.93191147,,
,,Bogor,Jawa Barat,107.0585654,-6.597878467,565,25.37340355,120.7960587,114,4068.046482,10,0.173554271,-0.139113948,-0.212041646,299.4515789,2169.933594,24.70723724,,
,,Bogor,Jawa Barat,106.6742127,-6.534149045,142,14.23617935,333.2853088,200,5034.142324,10,0.167950824,-0.143281415,-0.181300744,303.3044444,2169.93335,24.28586388,,
,,Bogor,Jawa Barat,106.5938518,-6.742657043,979,7.606426239,14.1301012,174,5028.295107,10,0.123801507,-0.114943571,-0.110432722,296.6115789,1494.440918,25.10935974,,
,,Bogor,Jawa Barat,106.4448083,-6.655646998,1123,45.87791061,111.1665573,60,5155.392437,10,0.089170933,-0.088826261,-0.024612896,296.7966667,2169.93335,24.83080482,,
,,Bogor,Jawa Barat,107.1031346,-6.651633315,626,20.42124176,180,180,4048.156544,10,0.206323937,-0.169147208,-0.007334813,299.6526316,2169.93335,24.70723724,,
,,Bogor,Jawa Barat,106.4482403,-6.595123144,631,11.22623825,235.1864929,209,4803.484696,50,0.131597489,-0.115704924,-0.124072611,300.0885714,2169.93335,24.83080482,,
,,Bogor,Jawa Barat,106.5909317,-6.696310215,879,1.315951347,45.19610214,177,5200.701336,10,0.097371861,-0.091707401,-0.061372221,297.5444444,2169.933594,25.10935974,,
,,Bogor,Jawa Barat,107.0226505,-6.475574443,89,2.798112154,270,189,3944.766278,10,0.187908486,-0.150012001,-0.108049169,302.867,2169.933594,24.33442307,,
,,Bogor,Jawa Barat,106.9525441,-6.581628167,432,5.401615143,328.8688354,189,4091.938932,30,0.182985246,-0.143502489,-0.09965235,300.8790476,2169.933838,24.99391365,,
,,Bogor,Jawa Barat,106.4899197,-6.697482856,1410,13.91165829,11.38562202,172,5483.020934,10,0.049365059,-0.05876172,-0.010871161,294.8475,2169.933594,25.10935974,,
,,Bogor,Jawa Barat,106.4877939,-6.746501525,1432,24.14187241,226.667572,234,5290.105481,10,0.054928027,-0.054597549,-0.118053846,294.0183333,646.3877563,25.10935974,,
,,Bogor,Jawa Barat,106.7607549,-6.517600412,148,0.927409947,180,180,5124.675342,10,0.136685669,-0.102845304,-0.211165994,306.1647059,2169.933594,24.40625763,,
,,Bogor,Jawa Barat,107.0379141,-6.49628893,226,14.23596954,26.71295738,160,3944.766278,10,0.221572876,-0.177755341,-0.340774298,302.64,2169.933838,24.33442307,,
,,Bogor,Jawa Barat,107.2107779,-6.617721108,506,41.40813828,281.6491394,255,4293.915337,10,0.215938717,-0.186734349,-0.282410175,299.4568,1420.762939,24.56854439,,
,,Bogor,Jawa Barat,106.9348289,-6.572006716,408,9.649780273,73.4044342,151,4307.002588,30,0.162786961,-0.143581599,-0.243607849,299.5768,2169.93335,24.99391365,,
,,Bogor,Jawa Barat,106.6263198,-6.548382372,174,7.035207748,203.3346863,189,4875.822246,10,0.194277063,-0.157879815,-0.267735258,301.0488,2169.933594,24.28586388,,
,,Bogor,Jawa Barat,107.163,-6.635407964,342,19.77205086,352.1831055,189,4167.567222,10,0.27081883,-0.20129256,-0.212454051,301.0495652,2169.933838,24.56854439,,
,,Bogor,Jawa Barat,107.0089473,-6.604534334,664,15.70889664,99.94289398,132,4463.908443,10,0.201090619,-0.165631428,-0.015950263,299.5173333,2169.93335,24.99391365,,
,,Bogor,Jawa Barat,106.5087634,-6.551811606,286,13.9248209,66.93702698,140,4717.90058,10,0.21213758,-0.17794247,-0.229328007,300.5104762,2169.933594,24.37637138,,
,,Bogor,Jawa Barat,107.0020233,-6.631783683,972,8.340072632,6.382547855,177,4463.908443,10,0.080044731,-0.082347244,-0.023265995,298.67375,2169.933594,24.99391365,,
,,Bogor,Jawa Barat,106.5959209,-6.427580706,73,5.41713047,239.1953888,195,4183.812368,10,0.205089927,-0.158397198,-0.262425154,302.962,2169.933594,23.93191147,,
,,Bogor,Jawa Barat,106.9126229,-6.628204006,747,17.87734604,49.27570343,138,4462.325247,10,0.119410217,-0.088541597,-0.007996961,300.21875,2169.933594,24.99391365,,
